role,name,team
student,wowwwp,CS2103-F08-1
student,basil-boh,CS2103-F08-1
student,codebreaker64,CS2103-F08-1
student,JohannsenLum,CS2103-F08-1
student,feliciahmq,CS2103-F08-1
student,Kaidama97,CS2103-F08-1
student,nathtiekk,CS2103-F08-2
student,MakiseKurisuX,CS2103-F08-2
student,Jovin-Ang,CS2103-F08-2
student,yuyang011,CS2103-F08-2
student,johngao122,CS2103-F08-2
student,jiancheng37,CS2103-F08-3
student,lesterlimjj,CS2103-F08-3
student,Ryuse,CS2103-F08-3
student,ToxOptimism,CS2103-F08-3
student,caxewhy,CS2103-F08-3
student,kubrian,CS2103-F08-4
student,raw-asparagus,CS2103-F08-4
student,Ernestnzx,CS2103-F08-4
student,quangthangisme,CS2103-F08-4
student,NHT020305,CS2103-F08-4
student,dexterleng,CS2103-F09-1
student,SuspectBlue,CS2103-F09-1
student,adwinang,CS2103-F09-1
student,zyonwee,CS2103-F09-1
student,kararei,CS2103-F09-1
student,dnardnar,CS2103-F09-2
student,xenyeo,CS2103-F09-2
student,botosek,CS2103-F09-2
student,tadacheng,CS2103-F09-2
student,deberinoo,CS2103-F09-2
student,Inquisitivrx,CS2103-F09-3
student,GCheeYang,CS2103-F09-3
student,Parrycys,CS2103-F09-3
student,kea-S,CS2103-F09-3
student,sherwinee,CS2103-F09-3
student,mingshan2705,CS2103-F09-4
student,Jeremiah33-3,CS2103-F09-4
student,awc1116,CS2103-F09-4
student,wilsonsfh,CS2103-F09-4
student,bkkuan,CS2103-F09-4
student,FadhilPM,CS2103-F10-1
student,kennethsoh,CS2103-F10-1
student,CJ-783,CS2103-F10-1
student,broccoli-hater,CS2103-F10-1
student,0x4F776C,CS2103-F10-1
student,NightlyAffair,CS2103-F10-2
student,teesha902,CS2103-F10-2
student,leedeen01,CS2103-F10-2
student,FabianHeng,CS2103-F10-2
student,castryl,CS2103-F10-3
student,RT0118,CS2103-F10-3
student,bryonk,CS2103-F10-3
student,Zerolegacy,CS2103-F10-3
student,davidchongg,CS2103-F10-4
student,jeronkk,CS2103-F10-4
student,brvndonkoh,CS2103-F10-4
student,huangtian666,CS2103-F10-4
student,nguyenvukhang,CS2103-F15-1
student,WhyAre,CS2103-F15-1
student,kokseen1,CS2103-F15-1
student,AnAfterthought,CS2103-F15-1
student,meloppeitreet,CS2103-F15-1
student,Victoria281,CS2103-F15-1
student,samuelkwik,CS2103-F15-2
student,TheEnd-alr-taken,CS2103-F15-2
student,GaaneshT,CS2103-F15-2
student,boinkkitty,CS2103-F15-2
student,JunXiang26,CS2103-F15-2
student,Shamanbenny,CS2103-F15-2
student,aisyahally,CS2103-F15-3
student,kylieluk88,CS2103-F15-3
student,twhjames,CS2103-F15-3
student,delonlee01,CS2103-F15-3
student,KarKuen,CS2103-F15-3
student,xuxuezhou,CS2103-F15-4
student,ChinZJ,CS2103-F15-4
student,aquaimpact,CS2103-F15-4
student,philbertshea,CS2103-F15-4
student,hhlh27,CS2103-F15-4
student,hsinyilow,CS2103-F15-4
student,subiloble,CS2103-W11-1
student,zlllllr,CS2103-W11-1
student,quantin96,CS2103-W11-1
student,SheYuting,CS2103-W11-1
student,ioubread,CS2103-W11-1
student,zephaniahong,CS2103-W11-2
student,matthanfoo,CS2103-W11-2
student,JuhromeAlexander,CS2103-W11-2
student,gn07,CS2103-W11-2
student,xplus2g4,CS2103T-F10-1
student,Kannan171,CS2103T-F10-1
student,lilyium,CS2103T-F10-1
student,leewaikin19,CS2103T-F10-1
student,kerktaiheng,CS2103T-F10-1
student,MrAsparag00se,CS2103T-F10-2
student,jingchun19,CS2103T-F10-2
student,meglwhy,CS2103T-F10-2
student,malihahaque,CS2103T-F10-2
student,iamanoob44,CS2103T-F10-3
student,cyrolite,CS2103T-F10-3
student,Melvan-Chan,CS2103T-F10-3
student,pang-yy,CS2103T-F10-3
student,e1093051,CS2103T-F10-4
student,potatodudedude,CS2103T-F10-4
student,KimHan01,CS2103T-F10-4
student,jordon0802,CS2103T-F10-4
student,Hugo-Chia,CS2103T-F11-1
student,Codekrodile,CS2103T-F11-1
student,UltimateHG,CS2103T-F11-1
student,reaneechua,CS2103T-F11-1
student,AerollingOverDeepBlueSeas,CS2103T-F11-1
student,JadeCheah,CS2103T-F11-2
student,zacklow28,CS2103T-F11-2
student,NoahKoh,CS2103T-F11-2
student,amir-dha,CS2103T-F11-2
student,karthu0301,CS2103T-F11-2
student,zenn345,CS2103T-F11-3
student,mistyk786,CS2103T-F11-3
student,itsapaulblem,CS2103T-F11-3
student,clarabellelim,CS2103T-F11-3
student,namprice227,CS2103T-F11-3
student,changjy81,CS2103T-F11-4
student,yuto1115,CS2103T-F11-4
student,nikingoda,CS2103T-F11-4
student,sunpterodactyl,CS2103T-F11-4
student,ongxinyii,CS2103T-F11-4
student,isaacchua0309,CS2103T-F12-1
student,gohlucas,CS2103T-F12-1
student,noahang,CS2103T-F12-1
student,darHH,CS2103T-F12-1
student,SomneelSaha2004,CS2103T-F12-1
student,gengyudong,CS2103T-F12-2
student,GrassHeadd,CS2103T-F12-2
student,weiyanminoo,CS2103T-F12-2
student,glennliew,CS2103T-F12-2
student,jamesberyl,CS2103T-F12-2
student,josejhkim,CS2103T-F12-3
student,jonzyyyy,CS2103T-F12-3
student,jensenhuangyankai,CS2103T-F12-3
student,kaungzinye,CS2103T-F12-3
student,bhavinaa,CS2103T-F12-3
student,kimseunghyun-kr,CS2103T-F12-4
student,cscms03,CS2103T-F12-4
student,Wailydest,CS2103T-F12-4
student,WilkinsAng,CS2103T-F12-4
student,Terentwc,CS2103T-F12-4
student,danplatypus30,CS2103T-F13-1
student,AndreChia,CS2103T-F13-1
student,Fieash,CS2103T-F13-1
student,benedictleejr,CS2103T-F13-1
student,Golddirio,CS2103T-F13-1
student,Emmanuel2001,CS2103T-F13-2
student,mihirniyogi,CS2103T-F13-2
student,mogmyij,CS2103T-F13-2
student,Mil-leon,CS2103T-F13-2
student,cyhni,CS2103T-F13-2
student,m0destly,CS2103T-F13-3
student,zeotheburrito,CS2103T-F13-3
student,Ditzchann,CS2103T-F13-3
student,nat-ong555,CS2103T-F13-3
student,deannapoh,CS2103T-F13-3
student,minnibb,CS2103T-F13-4
student,Seethevon,CS2103T-F13-4
student,ambertan77,CS2103T-F13-4
student,liy722,CS2103T-F13-4
student,datletu,CS2103T-F14-1
student,lilduckling,CS2103T-F14-1
student,jodielzy,CS2103T-F14-1
student,vrisdng,CS2103T-F14-1
student,davidfoo07,CS2103T-F14-2
student,chen-xiangrui,CS2103T-F14-2
student,chenxy12345,CS2103T-F14-2
student,wyongqiing,CS2103T-F14-2
student,wj200,CS2103T-F14-2
student,bryantjandra,CS2103T-F14-3
student,LsmnBmnc,CS2103T-F14-3
student,Prog-Neuro-Com,CS2103T-F14-3
student,hzk-lab,CS2103T-F14-3
student,caando,CS2103T-F14-4
student,juneha1120,CS2103T-F14-4
student,CHI-ME,CS2103T-F14-4
student,arshinsikka,CS2103T-F14-4
student,sivaramjeychand,CS2103T-T08-1
student,Clifong,CS2103T-T08-1
student,ziliangstanley,CS2103T-T08-1
student,Jensen188,CS2103T-T08-1
student,SanShaoQian,CS2103T-T08-1
student,LuBolin,CS2103T-T08-2
student,Ben926,CS2103T-T08-2
student,jaylontan,CS2103T-T08-2
